name,role,Batting Style,Bowling Style,team,bat_matches,bat_innings,bat_runs,bat_balls,bat_highest,bat_average,bat_sr,bat_not_out,bat_fours,bat_sixes,bat_ducks,bat_50s,bat_100s,bat_200s,bat_300s,bat_400s,bowl_matches,bowl_innings,bowl_balls,bowl_runs,bowl_maidens,bowl_wickets,bowl_avg,bowl_eco,bowl_sr,bowl_bbi,bowl_bbm,bowl_4w,bowl_5w,bowl_10w,player_image_filename
Karun Nair,Batsman,Right Handed Bat,Right-arm offbreak,Delhi Capitals,85,77,1699,1291,89,23.6,131.61,5,186,49,5,11,0,0,0,0,85,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,delhi-capitals__karun-nair.jpg
Nitish Rana,Batsman,Left Handed Bat,Right-arm offbreak,Delhi Capitals,121,115,2873,2112,87,27.1,136.04,9,264,142,8,20,0,0,0,0,121,26,192,270,0,10,27.0,8.44,19.2,2/11,2/11,0,0,0,delhi-capitals__nitish-rana.jpg
Sameer Rizvi,Batsman,Right Handed Bat,Right-arm offbreak,Delhi Capitals,18,14,340,233,90,30.91,145.93,3,28,20,2,3,0,0,0,0,18,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,delhi-capitals__sameer-rizvi.jpg
David Miller,Batsman,Left Handed Bat,,Delhi Capitals,146,139,3178,2282,101,36.53,139.27,52,229,144,4,13,1,0,0,0,146,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,delhi-capitals__david-miller.jpg
Pathum Nissanka,Batsman,Right Handed Bat,,Delhi Capitals,5,5,128,85,44,25.6,150.59,0,17,4,0,0,0,0,0,0,5,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,delhi-capitals__pathum-nissanka.jpg
Sahil Parakh,Batsman,Left Handed Bat,Right-arm legbreak,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__sahil-parakh.jpg
Prithvi Shaw,Batsman,Right Handed Bat,Right-arm offbreak,Delhi Capitals,79,79,1892,1283,99,23.95,147.47,0,238,61,7,14,0,0,0,0,79,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,delhi-capitals__prithvi-shaw.jpg
Ashutosh Sharma,Batting Allrounder,Right Handed Bat,Right-arm medium,Delhi Capitals,25,19,412,250,66,27.47,164.80,4,25,30,0,2,0,0,0,0,25,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,delhi-capitals__ashutosh-sharma.jpg
Axar Patel,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Delhi Capitals,167,128,1945,1455,66,21.37,133.68,37,133,94,8,3,0,0,0,0,167,164,3405,4174,2,133,31.38,7.36,25.6,4/21,4/21,1,0,0,delhi-capitals__axar-patel.jpg
Ajay Jadav Mandal,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__ajay-jadav-mandal.jpg
Madhav Tiwari,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Delhi Capitals,1,1,3,4,3,3,75.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,delhi-capitals__madhav-tiwari.jpg
Vipraj Nigam,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,Delhi Capitals,17,9,154,86,39,19.25,179.07,1,17,8,1,0,0,0,0,0,17,16,264,411,0,12,34.25,9.34,22.0,2/18,2/18,0,0,0,delhi-capitals__vipraj-nigam.jpg
Tripurana Vijay,Bowling Allrounder,Right Handed Bat,Right-arm offbreak,Delhi Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delhi-capitals__tripurana-vijay.jpg
Auqib Nabi Dar,Bowling Allrounder,Right Handed Bat,Right-arm medium,Delhi Capitals,2,1,4,2,4,4,200.00,0,1,0,0,0,0,0,0,0,2,2,30,53,0,0,0.0,10.6,0.0,0/17,0/17,0,0,0,delhi-capitals__auqib-nabi-dar.jpg
Abishek Porel,WK-Batsman,Left Handed Bat,,Delhi Capitals,31,29,661,441,65,25.42,149.89,3,65,27,2,3,0,0,0,0,31,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,delhi-capitals__abishek-porel.jpg
